197;Tobias Harris;PF;30;PHI;74;74;32.9;5.7;11.4;0.501;1.7;4.4;0.389;4;7;0.57;0.575;1.5;1.7;0.876;0.9;4.8;5.7;2.5;0.9;0.5;1.2;2;14.7
202;Sam Hauser;PF;25;BOS;80;8;16.1;2.3;5;0.455;1.8;4.2;0.418;0.5;0.8;0.656;0.631;0.2;0.2;0.706;0.4;2.1;2.6;0.9;0.4;0.3;0.4;1.2;6.4
206;Juancho Hernang�mez;PF;27;TOR;42;10;14.6;1.1;2.7;0.421;0.4;1.6;0.254;0.7;1.1;0.66;0.496;0.2;0.4;0.563;0.6;2.3;2.9;0.6;0.4;0.1;0.4;1;2.9
231;Jonathan Isaac;PF;25;ORL;11;0;11.3;2;4.8;0.415;0.5;1.4;0.4;1.5;3.5;0.421;0.472;0.5;0.8;0.556;1.4;2.6;4;0.5;1.3;0.4;0.4;0.5;5
239;LeBron James;PF;38;LAL;55;54;35.5;11.1;22.2;0.5;2.2;6.9;0.321;8.9;15.3;0.58;0.549;4.6;5.9;0.768;1.2;7.1;8.3;6.8;0.9;0.6;3.2;1.6;28.9
242;Alize Johnson;PF;26;SAS;4;0;7.5;0.8;1.5;0.5;0;0.5;0;0.8;1;0.75;0.5;0.3;0.5;0.5;0.5;2;2.5;0.3;0.3;0;1;0.8;1.8
243;Cameron Johnson;PF;26;TOT;42;41;28.5;5.3;11.3;0.47;2.5;6.1;0.404;2.9;5.2;0.548;0.579;2.4;2.9;0.842;0.8;3.6;4.4;1.9;1.2;0.3;0.9;2;15.5
245;James Johnson;PF;35;IND;18;1;9;1.2;2.7;0.449;0.2;0.8;0.2;1.1;1.9;0.559;0.48;0.2;0.4;0.5;0.2;1.4;1.7;0.8;0.4;0.3;0.4;1.8;2.8
259;Nikola Jovi?;PF;19;MIA;15;8;13.6;1.9;4.6;0.406;0.5;2.3;0.229;1.3;2.3;0.588;0.464;1.2;1.3;0.947;0.6;1.5;2.1;0.7;0.5;0.1;0.7;1.3;5.5
261;Mfiondu Kabengele;PF;25;BOS;4;0;9;0.5;1.8;0.286;0;0.8;0;0.5;1;0.5;0.286;0.5;0.5;1;1.3;1.3;2.5;0;0.5;0;0.3;0.8;1.5
270;Nathan Knight;PF;25;MIN;38;0;7.7;1.2;2.1;0.568;0.2;0.6;0.364;1;1.6;0.644;0.617;1;1.5;0.684;0.6;0.9;1.5;0.3;0.3;0.2;0.6;1.1;3.7
271;Kevin Knox;PF-SF;23;TOT;63;5;15.1;2.4;5.3;0.458;1;3;0.349;1.4;2.3;0.596;0.556;0.7;1;0.767;0.5;2.3;2.8;0.5;0.4;0.2;0.8;1.5;6.6
277;Jonathan Kuminga;PF;20;GSW;67;16;20.8;3.9;7.4;0.525;0.8;2.2;0.37;3.1;5.2;0.59;0.579;1.3;2.1;0.652;1;2.4;3.4;1.9;0.6;0.5;1.4;2.3;9.9
278;Kyle Kuzma;PF;27;WAS;64;64;35;8;17.8;0.448;2.5;7.5;0.333;5.5;10.3;0.533;0.518;2.7;3.7;0.73;0.9;6.4;7.2;3.7;0.6;0.5;3;2.3;21.2
282;Jake LaRavia;PF;21;MEM;35;0;11.8;1.1;2.7;0.389;0.7;2;0.338;0.4;0.7;0.542;0.516;0.2;0.3;0.778;0.5;1.3;1.8;0.6;0.3;0.1;0.5;1.4;3
294;Isaiah Livers;PF;24;DET;52;22;23.1;2.3;5.5;0.417;1.4;3.9;0.365;0.9;1.6;0.541;0.545;0.6;0.8;0.821;0.5;2.2;2.8;0.8;0.5;0.5;0.6;2;6.7
295;Kenneth Lofton Jr.;PF;20;MEM;24;1;7.3;2;3.9;0.527;0.3;0.7;0.353;1.8;3.2;0.566;0.559;0.7;1.1;0.593;0.8;1.3;2.1;0.8;0.2;0.1;0.5;1.2;5
299;Kevin Love;PF;34;TOT;62;20;20;2.7;6.8;0.389;1.6;4.8;0.334;1.1;2.1;0.516;0.506;1.3;1.5;0.879;1;5.5;6.4;1.9;0.3;0.2;1.1;1.6;8.2
301;Trey Lyles;PF;27;SAC;74;0;16.9;2.5;5.5;0.458;1.2;3.2;0.363;1.4;2.3;0.595;0.565;1.4;1.7;0.815;0.9;3.1;4.1;0.9;0.4;0.4;0.9;1.3;7.6
309;Caleb Martin;PF;27;MIA;71;49;29.3;3.6;7.7;0.464;1.2;3.3;0.356;2.4;4.4;0.545;0.54;1.3;1.6;0.805;1.2;3.6;4.8;1.6;1;0.4;1.1;2;9.6
339;Evan Mobley;PF;21;CLE;79;79;34.4;6.6;12;0.554;0.3;1.3;0.216;6.4;10.7;0.595;0.566;2.6;3.8;0.674;2.4;6.6;9;2.8;0.8;1.5;1.8;2.8;16.2
340;Isaiah Mobley;PF;23;CLE;13;0;6.5;0.9;2.2;0.429;0.2;0.6;0.375;0.7;1.5;0.45;0.482;0.3;0.3;1;0.3;1.2;1.5;0.2;0.3;0.2;0.1;0.6;2.4
347;Marcus Morris;PF;33;LAC;65;65;28.1;4.2;9.9;0.426;1.7;4.7;0.364;2.5;5.2;0.484;0.513;1;1.3;0.782;0.4;3.5;4;1.8;0.6;0.3;0.9;2.1;11.2
348;Markieff Morris;PF;33;TOT;35;2;10.1;1.3;3.3;0.409;0.8;2;0.394;0.5;1.3;0.432;0.53;0.3;0.3;1;0.4;1.7;2;0.9;0.3;0.1;0.5;1.4;3.8
356;Larry Nance Jr.;PF;30;NOP;65;1;21.2;2.9;4.7;0.61;0.2;0.6;0.333;2.6;4;0.654;0.633;0.8;1.2;0.696;1.6;3.8;5.4;1.8;0.9;0.6;0.6;2;6.8
360;Georges Niang;PF;29;PHI;78;1;19.4;2.8;6.4;0.442;2;4.9;0.401;0.9;1.5;0.576;0.596;0.5;0.6;0.867;0.2;2.1;2.4;1;0.4;0.2;0.7;1.9;8.2
362;Zeke Nnaji;PF;22;DEN;53;5;13.7;2.1;3.7;0.561;0.3;1.2;0.262;1.8;2.5;0.71;0.605;0.8;1.2;0.645;1.2;1.4;2.6;0.3;0.3;0.4;0.6;2;5.2
374;KZ Okpala;PF;23;SAC;35;3;7.1;0.5;1.1;0.421;0.2;0.6;0.333;0.3;0.5;0.529;0.513;0.2;0.2;0.875;0.2;0.8;1;0.4;0.2;0.2;0.2;1.1;1.3
